bag,ztop,EDC3béta,AICC2012,deutfinal,temp,acc-EDC3beta
2010,1104.95,75871.12,76072.4,-423.5,212.4,1.782
2011,1105.5,75919.84,76120.9,-421.2,212.8,1.773
2012,1106.05,75968.84,76170.86667,-425.9,212,1.749
2013,1106.6,76018.51,76220.83333,-420.3,213,1.75
2014,1107.15,76068.18,76270.8,-429.3,211.5,1.661
2015,1107.7,76120.52,76323,-426.6,211.9,1.663
2016,1108.25,76172.84,76375.2,-424.4,212.3,1.717
2017,1108.8,76223.53,76427.4,-424.2,212.3,1.728
2018,1109.35,76273.91,76478.93333,-425.2,212.2,1.708
2019,1109.9,76324.91,76530.46667,-425.9,212,1.692
2020,1110.45,76376.4,76582,-425.3,212.1,1.689
2021,1111,76428.02,76635.96667,-429.1,211.5,1.613
2022,1111.55,76482.08,76689.93333,-429.4,211.5,1.597
2023,1112.1,76536.7,76743.9,-426.7,211.9,1.656
2024,1112.65,76589.41,76799.13333,-431.2,211.2,1.567
2025,1113.2,76645.12,76854.36667,-428.6,211.6,1.581
2026,1113.75,76700.38,76909.6,-434,210.7,1.526
2027,1114.3,76757.64,76968.46667,-430.2,211.3,1.529
2028,1114.85,76814.8,77027.33333,-435.2,210.5,1.471
2029,1115.4,76874.26,77086.2,-437.3,210.2,1.413
2030,1115.95,76936.16,77145.63333,-434.2,210.7,1.49
2031,1116.5,76994.91,77205.06667,-430.2,211.4,1.556
2032,1117.05,77051.18,77264.5,-431.6,211.1,1.569
2033,1117.6,77107,77319.6,-427.9,211.7,1.618
2034,1118.15,77161.16,77374.7,-427.5,211.8,1.604
2035,1118.7,77215.8,77429.8,-434.8,210.6,1.515
2036,1119.25,77273.68,77486.93333,-431.2,211.2,1.541
2037,1119.8,77330.61,77544.06667,-430.2,211.4,1.578
2038,1120.35,77386.21,77601.2,-426.3,212,1.678
2039,1120.9,77438.53,77656.96667,-427.4,211.8,1.621
2040,1121.45,77492.7,77712.73333,-438.4,210,1.464
2041,1122,77552.72,77768.5,-425.7,212.1,1.593
2042,1122.55,77607.9,77822.63333,-431.7,211.1,1.607
2043,1123.1,77662.61,77876.76667,-426.4,212,1.638
2044,1123.65,77716.32,77930.9,-428.1,211.7,1.62
2045,1124.2,77770.63,77986.5,-433,210.9,1.537
2046,1124.75,77827.92,78042.1,-431.6,211.1,1.542
2047,1125.3,77885.04,78097.7,-429.8,211.4,1.588
2048,1125.85,77940.52,78151.86667,-431.3,211.2,1.573
2049,1126.4,77996.55,78206.03333,-427.2,211.9,1.647
2050,1126.95,78050.09,78260.2,-426.3,212,1.681
2051,1127.5,78102.57,78311.63333,-426.1,212.1,1.686
2052,1128.05,78154.91,78363.06667,-426.7,212,1.653
2053,1128.6,78208.31,78414.5,-430.7,211.3,1.654
2054,1129.15,78261.71,78465,-420.9,212.9,1.72
2055,1129.7,78313.07,78515.5,-428.3,211.7,1.704
2056,1130.25,78364.95,78566,-424.6,212.3,1.713
2057,1130.8,78416.56,78615.66667,-424,212.4,1.723
2058,1131.35,78467.89,78665.33333,-427.9,211.8,1.643
2059,1131.9,78521.75,78715,-432.6,211,1.555
2060,1132.45,78578.66,78767.5,-428.7,211.6,1.612
2061,1133,78633.6,78820,-428.9,211.6,1.614
2062,1133.55,78688.48,78872.5,-432.4,211,1.534
2063,1134.1,78746.24,78925.66667,-432.5,211,1.535
2064,1134.65,78803.99,78978.83333,-431.1,211.3,1.57
2065,1135.2,78860.46,79032,-428.5,211.7,1.604
2066,1135.75,78915.77,79082.86667,-430.4,211.4,1.599
2067,1136.3,78971.27,79133.73333,-428.9,211.6,1.609
2068,1136.85,79026.43,79184.6,-429.9,211.5,1.605
2069,1137.4,79081.77,79233.66667,-425.9,212.1,1.693
2070,1137.95,79134.23,79282.73333,-427.5,211.9,1.656
2071,1138.5,79187.91,79331.8,-430.1,211.4,1.61
2072,1139.05,79243.13,79379.76667,-424.4,212.4,1.722
2073,1139.6,79294.77,79427.73333,-424.8,212.3,1.687
2074,1140.15,79347.52,79475.7,-434.8,210.7,1.535
2075,1140.7,79405.48,79524.56667,-430.2,211.4,1.612
2076,1141.25,79460.71,79573.43333,-421.8,212.8,1.745
2077,1141.8,79511.75,79622.3,-424,212.5,1.75
2078,1142.35,79562.65,79668.66667,-427.1,211.9,1.69
2079,1142.9,79615.38,79715.03333,-427.2,211.9,1.697
2080,1143.45,79667.91,79761.4,-422.4,212.7,1.759
2081,1144,79718.61,79806,-424.4,212.4,1.766
2082,1144.55,79769.12,79850.6,-423.1,212.6,1.795
2083,1145.1,79818.84,79895.2,-419.9,213.1,1.848
2084,1145.65,79867.15,79939.3,-421,213,1.801
2085,1146.2,79916.73,79983.4,-428.4,211.7,1.714
2086,1146.75,79968.85,80027.5,-422.9,212.6,1.747
2087,1147.3,80020.01,80072.86667,-424.3,212.4,1.757
2088,1147.85,80070.88,80118.23333,-424.5,212.4,1.703
